Position Title,Date,Apply,Work Model,Location,Company,Company Size,Company Industry,Salary,Qualifications,H1b Sponsored,Is New Grad
Software Engineer I,2025-11-21,https://jobright.ai/jobs/info/6920a799a49a885af9a3dc3b?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Colorado Springs, Colorado",KBR Careers,1001-5000,,$75915-$113820 /yr,"1. Bachelor’s Degree or Higher in Computer Science, Electrical Engineering, or related field.
2. 0-2 years experience in software development",not sure,yes
Electronic Security Systems Operator,2025-11-21,https://jobright.ai/jobs/info/6903e36963502c0aded6e024?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Sweetwater, TX
Waco, TX
Brownwood, TX
Waco Area
Harlingen, TX
Williamson County, TX",Texas State Technical College,1001-5000,"Education,Information Technology","$69,050.88-$69,050.88 /yr","1. Associate’s degree or higher in Criminal Justice, Security Management, Public Safety Technology, Information Technology or related field.
2. Equivalent experience may be considered in lieu of formal education
3. Experience with Milestone XProtect, Brivo, or similar security technology platforms
4. Understanding of physical security principles, electronic door hardware, credentialing, and IP-based surveillance systems
5. Familiarity with police dispatch, incident response, or public safety workflows
...",not sure,
Sage Intacct Implementation Support Consultant,2025-11-21,https://jobright.ai/jobs/info/6920a69da49a885af9a3db92?utm_source=1100&utm_campaign=Software Engineering,Remote,Remote (United States),Net at Work,51-100,"Consulting,CRM",$75000-$85000 /yr,"1. Candidates have worked in a role supporting Intacct or similar ERP systems either as a Support Specialist or a Power user
2. Practical and hands-on knowledge of Intacct. Specific experience should include but is not limited to, system administration and configuration setups, transaction processing including bank reconciliations and year end closing.
3. Proven ability to manage conflicting priorities and set clear expectations with customers and internal stakeholders
4. A strong interest in the use of system solutions to improve performance in an operational environment
5. Zeal to learn and acquire new skills",not sure,
Associate Technical Account Manager,2025-11-21,https://jobright.ai/jobs/info/6920a66ba49a885af9a3db76?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"New York, NY",Yardi,10000+,"Property Management,PropTech",$31.25-$32.81 /hr,"1. Bachelor's Degree in Business, Finance, Math, or Computer/Engineering Sciences; or an equivalent combination of education and experience.
2. Comfortable providing live support via phone and email, confidently troubleshooting technical issues.
3. A proactive problem-solver with a strong customer-focused mindset.
4. Detail-oriented and process-driven, with a focus on accuracy and efficiency.
5. Adaptable and flexible; you thrive in fast-paced, ever-changing environments.
...",not sure,
Identity Governance Administration Systems Analyst,2025-11-21,https://jobright.ai/jobs/info/69105ba5183be660d267888c?utm_source=1100&utm_campaign=Software Engineering,On Site,"Charlotte, NC",Pacific Life,1001-5000,"Finance,Financial Services",$100620-$122980 /yr,"1. 1-3 years Information Security experience, with strong focus in IAM IGA platforms (e.g. SailPoint, Saviynt, ForgeRock, Oracle)
2. Strong technical understanding of SailPoint ISC/IIQ product capabilities
3. Experience with centralized and decentralized IGA models
4. Knowledge and experience of Least Privileged Access Modeling, Role Based Access Control, and Separation of Duty
5. Experience with Agile methodologies and corresponding Agile based tools
...",not sure,
Business Manager Support (Hybrid - Flexible options),2025-11-21,https://jobright.ai/jobs/info/69140ed31465e02904e99d31?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"New York, NY",Broadridge,10000+,"Banking,Crowdfunding",$85000-$100000 /yr,"1. Bachelor’s Degree.
2. 1-2 years of experience as a Business Manager or Project Manager.
3. Knowledge of Microsoft suite of products: Excel, Word, PowerPoint.
4. Knowledge of PowerBI programming.",not sure,
"Associate Systems Administrator (Remote near Newport News, VA)",2025-11-21,https://jobright.ai/jobs/info/6920a2f93f782d2f1afc9a9e?utm_source=1100&utm_campaign=Software Engineering,Remote,"Newport News, VA",Ferguson,10000+,Wholesale,"$4,387.02-$7,681.62 /mon","1. Associate’s or Bachelor’s degree in Information Technology, Computer Science, or a related field — or equivalent hands-on experience.
2. Solid understanding of Windows and macOS environments.
3. Familiarity with mobile device management (MDM) platforms, especially Microsoft Intune.
4. Basic knowledge of networking (Wi-Fi, VPN, DNS, DHCP).
5. Understanding of security best practices for end-user devices.
...",not sure,
Resi Support Technician 1,2025-11-21,https://jobright.ai/jobs/info/68ef263a230ae70a14c40def?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Colorado Springs, CO","Resi Media, LLC",51-100,"Media and Entertainment,Software",$20.77-$23.08 /hr,"1. 1 year support experience with an online customer facing service product
2. 1 year experience with professional audio and video equipment, and AV production system design
3. Working knowledge of IT, networking, computer hardware and software concepts as they relate specifically to streaming and AV production infrastructure.
4. Ability to work in dynamic and constantly evolving environments.
5. Must possess excellent interpersonal skills with the ability to effectively de-escalate challenging customer interactions while maintaining a calm and professional demeanor.
...",no,
Data Systems Analyst,2025-11-21,https://jobright.ai/jobs/info/69125793d1047e3565cfb820?utm_source=1100&utm_campaign=Software Engineering,On Site,"Philadelphia, PA",Mastery Schools,51-100,"Education,Higher Education",$68000-$81000 /yr,"1. Familiarity with database platforms such as MS Access and SQL Server
2. Strong analytical skills with exceptional attention to detail
3. Ability and motivation to troubleshoot issues and resolve user-reported problems
4. Experience with Microsoft Excel and a desire to expand Excel proficiency
5. Results-oriented, flexible, and committed to problem-solving
...",not sure,
PhD University Grad Machine Learning Engineer 2026 (USA),2025-11-21,https://jobright.ai/jobs/info/68e81b8f09580a2fe57f3b2f?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Multi Location
Seattle, WA
Palo Alto, CA
San Francisco, CA",Pinterest,1001-5000,"Internet,Social Bookmarking","$162,690-$214,060 /yr","1. PhD in Computer Science, ML, NLP, Statistics, Information Sciences or related field required
2. Machine Learning experience (ranking, computer vision, NLP, content recommendations, embedding, information retrieval etc)
3. Proficiency in at least one systems language (Java, C++, Python) or one ML framework (Tensorflow, Pytorch, MLFlow)
4. Experience with big data technologies (e.g., Hadoop/Spark) and scalable realtime systems that process stream data
5. Experience in research and in solving analytical problems
...",no,
